	name	rating	address	url
104	豬跳舞小餐館	4.7	臺北市大安區光復南路290巷48號	https://ifoodie.tw/restaurant/559d1865c03a103ee86c3d96-%E8%B1%AC%E8%B7%B3%E8%88%9E%E5%B0%8F%E9%A4%90%E9%A4%A8
105	Savior Lounge Bar 救世主小酒館	4.6	臺北市萬華區漢口街二段34巷10號	https://ifoodie.tw/restaurant/5ea996c48c906d139203ece3-Savior-Lounge-Bar-%E6%95%91%E4%B8%96
106	J FULL 賈福廚房	4.4	臺北市大安區復興南路二段148巷27號	https://ifoodie.tw/restaurant/5932fad12756dd1a692fb85b-J-FULL-%E8%B3%88%E7%A6%8F%E5%BB%9A%E6%88%BF
107	Wyatt’s	4.9	台北市大安區通化街39巷49弄17號	https://ifoodie.tw/restaurant/5f33fb0d2756dd48dee2853f-Wyatt%E2%80%99s
108	L'IDIOT RESTAURANT 驢子餐廳	4.5	臺北市中山區林森北路369號	https://ifoodie.tw/restaurant/559d8850c03a103ee86c8518-L'IDIOT-RESTAURANT-%E9%A9%A2
109	後院	4.5	臺北市大安區安和路二段23巷4號	https://ifoodie.tw/restaurant/5bc7462c2756dd028bc8be40-%E5%BE%8C%E9%99%A2
110	曜日義式餐酒館	4.6	台北市大安區東豐街53號1樓	https://ifoodie.tw/restaurant/59ca97622756dd432294907c-%E6%9B%9C%E6%97%A5%E7%BE%A9%E5%BC%8F%E9%A4%90%E9%85%92%E9%A4%A8
111	義瑪卡多天母咖啡廳	4.1	臺北市士林區忠誠路二段162號	https://ifoodie.tw/restaurant/5f296efd2756dd3a9c8ebee8-%E7%BE%A9%E7%91%AA%E5%8D%A1%E5%A4%9A%E5%A4%A9%E6%AF%8D%E5%92%96%E5%95%A1%E5%BB%B3
112	VG The Seafood Bar , Taipei	4.6	台北市大安區敦化南路二段11巷6號	https://ifoodie.tw/restaurant/5b894fc52756dd37ce912e5e-VG-The-Seafood-Bar-%2C
113	La Facette 酒窩	4.5	臺北市大安區忠孝東路四段122號	https://ifoodie.tw/restaurant/5d347448d6895d214b9f2dc9-La-Facette-%E9%85%92%E7%AA%A9
114	ANTICO FORNO 老烤箱義式手桿披薩	4.4	臺北市大安區瑞安街141號	https://ifoodie.tw/restaurant/559d53b6c03a103ee86c63f9-ANTICO-FORNO-%E8%80%81%E7%83%A4%E7%AE%B1%E7%BE%A9%E5%BC%8F%E6%89%8B%E6%A1%BF
115	Toasteria Cafe 永康旗艦店	4.1	臺北市大安區信義路二段200號	https://ifoodie.tw/restaurant/58a73b922756dd4667687e15-Toasteria-Cafe-%E6%B0%B8%E5%BA%B7%E6%97%97%E8%89%A6%E5%BA%97
116	地中海牛排館 歐華酒店	4.6	臺北市中山區林森北路646號	https://ifoodie.tw/restaurant/559d717ac03a103ee86c782a-%E5%9C%B0%E4%B8%AD%E6%B5%B7%E7%89%9B%E6%8E%92%E9%A4%A8-%E6%AD%90%E8%8F%AF%E9%85%92%E5%BA%97
117	canteenM Bar	4.4	台北市中正區中華路一段3號2F	https://ifoodie.tw/restaurant/5f237ffc8c906d6cd91a5c80-canteenM-Bar
118	ROOM by Le Kief	4.3	臺北市大安區復興南路一段107巷5弄10號1樓	https://ifoodie.tw/restaurant/5e72e769226139178802bc29-ROOM-by-Le-Kief
119	Intention	4.8	臺北市大安區敦化南路一段219號2樓	https://ifoodie.tw/restaurant/559d4728c03a103ee86c5c2b-Intention
120	a poet	4.5	臺北市大安區敦化南路一段295巷9號	https://ifoodie.tw/restaurant/559d02fbc03a103ee86c3346-a-poet
121	KABU和Bistro	4.4	臺北市大安區樂利路11巷13號	https://ifoodie.tw/restaurant/5c1130022261397c44f8c9ba-KABU%E5%92%8CBistro
122	女人胃小館 Stomach Paradise	4.4	臺北市信義區光復南路419之1號	https://ifoodie.tw/restaurant/5f1aee942756dd340b8706ab-%E5%A5%B3%E4%BA%BA%E8%83%83%E5%B0%8F%E9%A4%A8-Stomach-Paradi
123	小城外 Bar CityNorth	4.5	臺北市大同區民樂街34號	https://ifoodie.tw/restaurant/59860a4e2756dd22a6bd2af5-%E5%B0%8F%E5%9F%8E%E5%A4%96-Bar-CityNorth
124	Relay Taîpas西班牙創意餐酒館	4.8	臺北市大安區四維路6巷22號	https://ifoodie.tw/restaurant/5ebcd6e5d6895d1fe02f0d14-Relay-Ta%C3%AEpas%E8%A5%BF%E7%8F%AD%E7%89%99%E5%89%B5%E6%84%8F%E9%A4%90%E9%85%92%E9%A4%A8
125	Power beef	4.3	臺北市大安區金山南路一段50號	https://ifoodie.tw/restaurant/58dfebd32756dd7a7d2b3b5f-Power-beef
126	Drunk Play爛醉不累	4.5	松壽路12號11樓	https://ifoodie.tw/restaurant/5e3250a1d6895d33b6d89a41-Drunk-Play%E7%88%9B%E9%86%89%E4%B8%8D%E7%B4%AF
